Effect size,Sample Size,Noncompliance,Miss Y,Method,coverage,bias,mc error,RMSE,CI width
2,200,30,0,Bayes,0.95,-0.059,0.012,0.586,2.054
2,200,30,0,SMC MIC,0.966,0.047,0.013,0.489,1.986
2,200,30,0,TS,0.977,-0.017,0.01,0.493,2.078
2,200,30,1,Bayes,0.928,-0.083,0.016,0.822,2.447
2,200,30,1,SMC MIC,0.966,0.091,0.016,0.573,2.221
2,200,30,1,TS,0.98,-0.008,0.011,0.572,2.364
2,200,50,0,Bayes,0.941,-0.162,0.015,0.782,2.494
2,200,50,0,SMC MIC,0.966,0.255,0.014,0.54,2.14
2,200,50,0,TS,0.973,-0.023,0.011,0.561,2.284
2,200,50,1,Bayes,0.92,-0.236,0.024,1.229,3.401
2,200,50,1,SMC MIC,0.971,0.263,0.015,0.598,2.427
2,200,50,1,TS,0.972,0.012,0.014,0.688,2.589
2,1000,30,0,Bayes,0.945,-0.008,0.004,0.216,0.839
2,1000,30,0,SMC MIC,0.949,-0.01,0.004,0.222,0.843
2,1000,30,0,TS,0.966,-0.012,0.004,0.216,0.904
2,1000,30,1,Bayes,0.95,-0.006,0.005,0.244,0.959
2,1000,30,1,SMC MIC,0.946,-0.008,0.005,0.247,0.953
2,1000,30,1,TS,0.962,-0.009,0.005,0.246,1.011
2,1000,50,0,Bayes,0.951,-0.004,0.005,0.247,0.955
2,1000,50,0,SMC MIC,0.943,-0.013,0.005,0.254,0.96
2,1000,50,0,TS,0.965,-0.003,0.005,0.24,0.986
2,1000,50,1,Bayes,0.947,-0.006,0.006,0.279,1.084
2,1000,50,1,SMC MIC,0.945,-0.007,0.006,0.281,1.073
2,1000,50,1,TS,0.958,-0.012,0.005,0.274,1.11
4,200,30,0,Bayes,0.962,0.026,0.016,0.798,2.983
4,200,30,0,SMC MIC,0.986,0.127,0.02,0.639,2.668
4,200,30,0,TS,0.977,-0.021,0.014,0.674,2.849
4,200,30,1,Bayes,0.917,0.443,0.043,2.179,4.007
4,200,30,1,SMC MIC,0.997,0.126,0.021,2.25,3.125
4,200,30,1,TS,0.977,0.2,0.039,1.907,3.253
4,200,50,0,Bayes,0.869,-0.285,0.029,1.453,3.795
4,200,50,0,SMC MIC,0.998,0.242,0.027,0.671,2.936
4,200,50,0,TS,0.984,1.162,0.081,4.219,3.221
4,200,50,1,Bayes,0.925,0.292,0.048,2.391,6.506
4,200,50,1,SMC MIC,0.995,0.193,0.029,0.702,3.332
4,200,50,1,TS,0.983,0.465,0.053,2.564,3.472
4,1000,30,0,Bayes,0.951,0.016,0.007,0.359,1.346
4,1000,30,0,SMC MIC,0.953,0.015,0.006,0.318,1.207
4,1000,30,0,TS,0.959,-0.002,0.006,0.319,1.238
4,1000,30,1,Bayes,0.947,0.053,0.008,0.381,1.38
4,1000,30,1,SMC MIC,0.949,0.027,0.007,0.373,1.378
4,1000,30,1,TS,0.956,-0.012,0.005,0.275,1.11
4,1000,50,0,Bayes,0.951,0.016,0.007,0.359,1.346
4,1000,50,0,SMC MIC,0.946,0.023,0.007,0.367,1.354
4,1000,50,0,TS,0.965,-0.005,0.007,0.348,1.356
4,1000,50,1,Bayes,0.939,0.068,0.009,0.435,1.549
4,1000,50,1,SMC MIC,0.948,0.037,0.008,0.422,1.537
4,1000,50,1,TS,0.959,0.018,0.008,0.402,1.537
