Effect size,Sample Size,Noncompliance,Miss Y,Method,coverage,bias,mc error,RMSE,CI width,percentage bias
2,200,30,0,Bayes,0.931,-0.236,0.019,0.971,4.346,-12%
2,200,30,0,TS,0.979,0.092,0.012,0.612,2.584,5%
2,200,50,0,SMC MIC,0.88,0.704,0.04,0.95,2.512,35%
2,200,30,1,Bayes,0.925,-0.622,0.033,1.763,8.312,-31%
2,200,30,1,TS,0.986,0.117,0.02,0.997,2.908,6%
2,200,50,1,SMC MIC,0.911,0.808,0.042,1.053,2.754,40%
2,200,50,0,Bayes,0.931,-0.356,0.024,1.232,6.976,-18%
2,200,50,0,TS,0.98,0.106,0.013,0.678,2.781,5%
2,200,30,0,SMC MIC,0.928,0.431,0.025,0.729,2.19,22%
2,200,50,1,Bayes,0.896,-1,0.042,2.32,12.162,-50%
2,200,50,1,TS,0.984,0.164,0.025,1.249,3.155,8%
2,1000,30,0,Bayes,0.94,-0.011,0.006,0.287,1.078,-1%
2,1000,30,0,SMC MIC,0.941,-0.022,0.006,0.294,1.071,-1%
2,1000,30,0,TS,0.971,0.041,0.005,0.258,1.116,2%
2,1000,30,1,Bayes,0.937,-0.013,0.006,0.322,1.219,-1%
2,200,30,1,SMC MIC,0.947,0.491,0.027,0.804,2.48,25%
2,1000,30,1,SMC MIC,0.94,-0.017,0.006,0.325,1.198,-1%
2,1000,30,1,TS,0.963,0.03,0.006,0.299,1.243,2%
4,200,50,0,SMC MIC,0.947,-0.205,0.187,0.819,4.098,-5%
2,1000,50,0,Bayes,0.944,-0.013,0.007,0.328,1.253,-1%
2,1000,50,0,SMC MIC,0.957,-0.027,0.007,0.328,1.229,-1%
2,1000,50,0,TS,0.962,0.074,0.006,0.289,1.194,4%
2,1000,50,1,Bayes,0.942,-0.081,0.017,0.832,1.431,-4%
2,1000,50,1,SMC MIC,0.955,-0.007,0.007,0.358,1.385,0%
4,200,30,0,TS,0.984,-0.549,0.016,0.782,4.44,-14%
2,1000,50,1,TS,0.965,0.061,0.006,0.326,1.339,3%
4,200,30,0,Bayes,0.955,0.356,0.045,2.286,13.227,9%
4,200,30,0,SMC MIC,0.968,-0.145,0.123,0.691,4.175,-4%
4,200,30,1,Bayes,0.922,-0.073,0.072,3.604,3.604,-2%
4,200,30,1,TS,0.982,3.96,0.128,6.69,5.175,99%
4,200,50,0,TS,0.983,-0.655,0.019,0.87,4.504,-16%
4,1000,30,0,Bayes,0.908,0.23,0.028,1.399,3.137,6%
4,200,50,0,Bayes,0.966,0.328,0.045,2.281,15.653,8%
4,1000,30,0,SMC MIC,0.977,0.003,0.015,0.61,2.539,0%
4,200,50,1,Bayes,0.938,0.028,0.07,3.482,25.927,1%
4,200,50,1,TS,0.984,5.012,0.132,7.432,2773.458,125%
4,1000,30,0,TS,0.992,0.272,0.012,0.661,2.48,7%
4,1000,30,1,Bayes,0.9,0.127,0.034,1.694,3.946,3%
4,1000,30,1,SMC MIC,0.971,0.001,0.015,0.617,2.945,0%
4,1000,30,1,TS,0.986,0.513,0.042,2.099,2.905,13%
4,1000,50,0,Bayes,0.91,0.138,0.034,1.712,4.449,3%
4,1000,50,0,SMC MIC,0.989,0.096,0.018,0.666,2.949,2%
4,200,30,1,SMC MIC,1,-0.157,0.085,0.486,4.169,-4%
4,1000,50,0,TS,0.992,0.31,0.013,0.678,2.918,8%
4,1000,50,1,Bayes,0.912,-0.157,0.04,1.989,6.636,-4%
4,1000,50,1,SMC MIC,0.99,0.076,0.02,0.638,3.152,2%
4,200,50,1,SMC MIC,1,-0.091,0.075,0.323,4.3,-2%
4,1000,50,1,TS,0.988,0.959,0.059,3.012,3.071,24%
